,Date,rainfall,cloudamount,sunshine,humidity,maxtemp,mintemp
0,1989-01-01,0,1,8.3,79,26.5,13
348,1989-01-02,0,1,7.8,77,25.6,13
696,1989-01-03,0,2,7.5,75,26,12.6
1044,1989-01-04,0,0,8.4,78,25.2,14
1392,1989-01-05,0,0,8.1,77,25.2,12.6
1740,1989-01-06,0,0,7.8,78,25.8,12.2
2088,1989-01-07,0,0,8.7,76,27,13.5
2436,1989-01-08,0,1,8.6,81,27.2,13.2
2784,1989-01-09,0,0,8.1,83,26.5,13
3132,1989-01-10,0,1,8.2,72,21.8,14.5
3480,1989-01-11,0,0,9.4,70,22,8.8
3828,1989-01-12,0,0,9.4,72,21,7.4
4176,1989-01-13,0,0,9.5,68,20.7,8
4524,1989-01-14,0,0,9.5,75,22.5,7.8
4872,1989-01-15,0,0,9.5,73,23.1,7.8
5220,1989-01-16,0,0,9.3,72,24,8.5
5568,1989-01-17,0,3,0,80,21,11
5916,1989-01-18,0,0,9.2,70,23.3,7.5
6264,1989-01-19,0,0,9.1,70,22.8,8
6612,1989-01-20,0,0,8.7,70,24,8
6960,1989-01-21,0,0,8.8,70,23.6,8.1
7308,1989-01-22,0,0,9.6,67,23.2,8.5
7656,1989-01-23,0,0,9.3,72,23.2,7.7
8004,1989-01-24,0,0,8.9,72,24.6,8.4
8352,1989-01-25,0,0,9.4,71,25.1,8.6
8700,1989-01-26,0,0,9.4,70,26,8.9
9048,1989-01-27,0,0,9,72,25.8,8.2
9396,1989-01-28,0,0,9,70,24.6,8.9
9744,1989-01-29,0,0,9,63,26.2,8.4
10070,1989-01-30,0,0,9.4,66,26.3,9.4
10389,1989-01-31,0,0,9.2,70,26.2,9.2
1,1989-02-01,0,0,9.4,67,28.1,10.1
349,1989-02-02,0,0,6.9,74,29.8,14.4
697,1989-02-03,0,0,9,67,28.4,14
1045,1989-02-04,0,0,9.5,69,27.7,11.2
1393,1989-02-05,0,1,9.4,70,30.6,12.3
1741,1989-02-06,0,3,8.5,79,31.1,19.1
2089,1989-02-07,0,0,8.6,71,31.3,17.8
2437,1989-02-08,0,0,8.5,72,30.3,16.8
2785,1989-02-09,0,0,9.2,63,27.8,14.4
3133,1989-02-10,0,1,7.3,76,28.5,14.4
3481,1989-02-11,0,2,8.8,63,27.8,15.1
3829,1989-02-12,0,0,8.4,65,26.3,15.9
4177,1989-02-13,0,0,8.7,65,26.7,12.8
4525,1989-02-14,0,2,8,78,30,15
4873,1989-02-15,0,0,7.7,69,30.4,17.7
5221,1989-02-16,0,0,9.4,69,31,13.9
5569,1989-02-17,0,2,9.1,73,30,20
5917,1989-02-18,0,1,6.3,80,31,19.4
6265,1989-02-19,0,3,7.3,68,30,21
6613,1989-02-20,1,0,10,66,23,11.2
6961,1989-02-21,0,0,9.5,66,26.6,9.6
7309,1989-02-22,0,2,8.1,71,28.7,11.5
7657,1989-02-23,7,1,9.4,69,26.8,17
8005,1989-02-24,0,0,9.8,70,26.1,11.4
8353,1989-02-25,0,0,10,68,27.6,9
8701,1989-02-26,0,0,10,72,28.9,11
9049,1989-02-27,0,0,10.1,66,31.2,11.6
9397,1989-02-28,0,0,9.5,69,33.6,15.4
2,1989-03-01,0,2,9,71,33.3,19.5
350,1989-03-02,0,2,8.6,69,33.7,19
698,1989-03-03,0,0,9.8,65,31.4,14.6
1046,1989-03-04,0,0,10.1,59,30.3,15
1394,1989-03-05,0,0,9.9,66,31.2,14
1742,1989-03-06,0,1,9.8,66,32.3,14.2
2090,1989-03-07,0,2,9.3,65,33.8,15.2
2438,1989-03-08,0,1,8.6,73,33.2,17.6
2786,1989-03-09,0,1,7.7,68,32.8,18.4
3134,1989-03-10,0,1,9.8,67,34,18
3482,1989-03-11,0,7,4.2,77,30,18.5
3830,1989-03-12,0,1,9.7,75,30,18
4178,1989-03-13,0,4,8.4,66,31.5,16
4526,1989-03-14,0,0,9.8,64,32.3,17.7
4874,1989-03-15,0,1,10.1,57,33.2,19.5
5222,1989-03-16,0,1,9.7,59,33.9,17.1
5570,1989-03-17,0,2,9.5,64,33.4,19
5918,1989-03-18,0,2,9.6,62,34.7,17.3
6266,1989-03-19,0,3,8.1,64,35.5,21.6
6614,1989-03-20,0,1,9.2,65,35.7,22
6962,1989-03-21,0,0,10,55,35.5,20.5
7310,1989-03-22,0,1,9.7,61,36.7,24.3
7658,1989-03-23,0,1,10,64,36.7,23
8006,1989-03-24,0,2,9.9,62,36.2,23.8
8354,1989-03-25,0,2,9,56,35.8,23.8
8702,1989-03-26,0,1,9.9,58,36.3,23
9050,1989-03-27,0,2,10.1,51,36.8,20.5
9398,1989-03-28,0,3,9.7,52,33.7,19.4
9745,1989-03-29,0,7,0,67,28.6,20.2
10071,1989-03-30,2,3,7.7,63,31.3,18.2
10390,1989-03-31,0,3,9.7,70,33.9,18.4
3,1989-04-01,0,3,9.6,66,34,21
351,1989-04-02,0,1,10,74,36.3,25
699,1989-04-03,0,2,10,74,35.8,23.2
1047,1989-04-04,0,3,9.3,67,35.5,25
1395,1989-04-05,0,1,10,66,36.3,24.2
1743,1989-04-06,0,1,9.5,63,35.8,24
2091,1989-04-07,0,0,10.2,52,35.4,19.6
2439,1989-04-08,0,0,9.5,70,36.7,20.2
2787,1989-04-09,0,2,9.3,76,35,24.1
3135,1989-04-10,0,4,9.8,76,35.8,25
3483,1989-04-11,0,3,9,73,37.4,25.6
3831,1989-04-12,0,3,10.1,69,37.2,26.2
4179,1989-04-13,0,2,10.3,72,36.7,25
4527,1989-04-14,0,1,10.6,69,37.3,24.6
4875,1989-04-15,0,1,10.2,68,38.4,25.2
5223,1989-04-16,0,4,9.8,71,36.8,26.2
5571,1989-04-17,0,3,10.2,76,34.8,25.7
5919,1989-04-18,0,2,10.1,75,35.8,25.2
6267,1989-04-19,0,4,9.9,75,35.5,25
6615,1989-04-20,0,3,9.7,74,33.7,25.5
6963,1989-04-21,0,5,4.8,78,36.3,25.3
7311,1989-04-22,0,2,10.6,76,****,25.3
7659,1989-04-23,0,4,9.4,77,36.8,25.5
8007,1989-04-24,0,3,8.7,76,36.5,26
8355,1989-04-25,0,4,8.2,77,36.3,25.8
8703,1989-04-26,0,3,9.2,74,35.7,26.3
9051,1989-04-27,0,4,7.6,78,33.5,27.2
9399,1989-04-28,8,3,8.5,81,33.2,21.4
9746,1989-04-29,0,5,6.2,85,33.3,26.7
10072,1989-04-30,46,5,4.3,81,32.5,21.2
4,1989-05-01,0,4,9,75,34.5,25
352,1989-05-02,0,4,8.1,77,34.3,26.2
700,1989-05-03,0,3,10.4,79,35.6,26.5
1048,1989-05-04,0,2,9.2,80,36.4,27.2
1396,1989-05-05,0,3,10.7,76,37,26.8
1744,1989-05-06,0,1,10.3,77,38,27.2
2092,1989-05-07,0,2,9.4,76,37.5,27.3
2440,1989-05-08,0,0,10.4,71,40,26.8
2788,1989-05-09,0,1,10.5,74,37.5,27.2
3136,1989-05-10,0,2,10.5,78,36.7,26.4
3484,1989-05-11,0,1,10.6,75,36.2,26
3832,1989-05-12,0,2,10.5,74,36.2,26
4180,1989-05-13,0,6,8.5,78,35.2,26.4
4528,1989-05-14,49,3,8,78,35,21.4
4876,1989-05-15,0,7,6.2,78,33.8,26.6
5224,1989-05-16,2,7,6,77,34.6,23.5
5572,1989-05-17,1,8,0,91,26.7,24
5920,1989-05-18,12,6,7.4,86,32,24.6
6268,1989-05-19,9,3,8.5,77,35.3,23.8
6616,1989-05-20,0,3,11.5,76,36,25.4
6964,1989-05-21,0,5,9.2,81,36,26.5
7312,1989-05-22,15,5,9.9,81,35.4,22.3
7660,1989-05-23,0,6,5.7,79,35,26.5
8008,1989-05-24,15,6,5.8,78,34,25.5
8356,1989-05-25,1,5,5.1,84,31.7,25.3
8704,1989-05-26,14,8,1,88,30,24.5
9052,1989-05-27,51,7,0,88,30.2,24.5
9400,1989-05-28,9,6,0.9,85,33,27.2
9747,1989-05-29,0,5,5.8,83,34.5,25.6
10073,1989-05-30,0,5,2.2,85,32.5,27.4
10391,1989-05-31,7,4,4.6,81,35,25.5
5,1989-06-01,0,5,7.9,81,34.9,26.6
353,1989-06-02,2,4,9.4,78,35.5,23.4
701,1989-06-03,0,7,5.8,88,34.9,27.3
1049,1989-06-04,26,4,5.7,80,33.9,24
1397,1989-06-05,0,4,5.5,82,34.6,27.8
1745,1989-06-06,0,4,8.8,78,35,27.2
2093,1989-06-07,0,6,8.1,84,35.8,27
2441,1989-06-08,0,5,10,80,35.4,25.5
2789,1989-06-09,0,3,10.5,76,35.2,25.6
3137,1989-06-10,0,5,8.6,77,35.7,27
3485,1989-06-11,15,6,6.9,83,33.2,25.3
3833,1989-06-12,0,7,3.8,87,32.1,27
4181,1989-06-13,7,8,0.4,94,30,25.5
4529,1989-06-14,67,8,3.1,89,33,26
4877,1989-06-15,23,8,0,93,29.5,24.6
5225,1989-06-16,18,6,1.7,82,35.2,25.7
5573,1989-06-17,20,7,2.6,88,31,23.8
5921,1989-06-18,0,7,3.1,88,32.3,26
6269,1989-06-19,7,7,4.7,89,32.2,24.8
6617,1989-06-20,10,8,3.3,92,30.3,25.5
6965,1989-06-21,8,7,0,94,27.8,25
7313,1989-06-22,18,6,10,91,32,24.5
7661,1989-06-23,9,5,6.6,86,33.8,26.8
8009,1989-06-24,5,5,6.6,88,34.5,27
8357,1989-06-25,17,4,4.4,84,32.5,27.3
8705,1989-06-26,0,5,9.6,82,33.5,26.7
9053,1989-06-27,0,4,10.3,83,33.3,26.6
9401,1989-06-28,0,6,9.9,82,32,26.6
9748,1989-06-29,2,6,2.3,87,32.2,25.5
10074,1989-06-30,3,5,4.5,87,32.6,25.6
6,1989-07-01,5,6,3.5,91,32.4,27.1
354,1989-07-02,21,8,0,94,28.5,25.6
702,1989-07-03,9,7,0.6,87,31,26.3
1050,1989-07-04,6,6,0.6,85,31.7,26.5
1398,1989-07-05,0,7,4.3,90,32.7,25.5
1746,1989-07-06,26,6,0.2,86,30.8,26.5
2094,1989-07-07,26,6,0,90,30,25
2442,1989-07-08,21,4,5.5,84,31.7,26.4
2790,1989-07-09,0,3,9.3,79,33.4,26.2
3138,1989-07-10,0,5,11.2,79,34.2,27.1
3486,1989-07-11,0,7,7.1,84,34,27.4
3834,1989-07-12,27,8,0,87,34.5,26.3
4182,1989-07-13,9,7,1,93,32.3,24.7
4530,1989-07-14,5,8,0.2,89,31.5,25.3
4878,1989-07-15,1,8,9.1,82,33.6,26
5226,1989-07-16,0,6,4.4,80,33.4,25.4
5574,1989-07-17,1,6,6.7,82,34,26.8
5922,1989-07-18,0,7,10.6,77,33.7,27
6270,1989-07-19,0,7,7.8,80,35.5,27
6618,1989-07-20,0,6,6.2,88,31,26.1
6966,1989-07-21,11,6,10.3,80,33.2,27.1
7314,1989-07-22,0,6,9.1,80,33.1,27.2
7662,1989-07-23,5,5,11.3,84,32.3,25.8
8010,1989-07-24,2,6,5.5,85,33,26.6
8358,1989-07-25,0,5,9.9,80,33.2,26.7
8706,1989-07-26,0,5,2,82,32.5,26.4
9054,1989-07-27,0,7,0.3,88,31.8,26.6
9402,1989-07-28,20,7,0.8,91,29,26.1
9749,1989-07-29,13,8,0,93,26.5,25
10075,1989-07-30,31,7,5.2,86,29.4,25.6
10392,1989-07-31,0,8,0,92,27.8,25
7,1989-08-01,8,8,0,91,29.5,24.5
355,1989-08-02,1,8,3,86,31.4,25.2
703,1989-08-03,2,7,1.5,88,30.2,25.8
1051,1989-08-04,4,6,7.4,85,31.3,26
1399,1989-08-05,2,5,6.2,84,32.2,25.9
1747,1989-08-06,6,6,4.2,84,31.8,25.6
2095,1989-08-07,0,5,6.3,81,33,26.6
2443,1989-08-08,0,6,4.5,84,32.7,26.7
2791,1989-08-09,0,6,4.9,86,32.8,26.8
3139,1989-08-10,0,6,7.2,84,32.5,27
3487,1989-08-11,0,6,4.7,85,31.4,26.8
3835,1989-08-12,11,6,3.8,88,31.4,26
4183,1989-08-13,2,5,7.5,83,33,26.8
4531,1989-08-14,2,5,9.1,81,33.4,26.5
4879,1989-08-15,0,6,3.9,87,32,26.4
5227,1989-08-16,7,6,4.8,84,31.5,26.5
5575,1989-08-17,1,5,4.5,87,30.5,26.6
5923,1989-08-18,3,4,8.8,84,33.5,26.5
6271,1989-08-19,12,5,8.8,84,33,26.8
6619,1989-08-20,1,5,7.3,83,33.8,27.4
6967,1989-08-21,0,6,5.2,84,32.5,27.4
7315,1989-08-22,0,5,8.3,80,33,27.2
7663,1989-08-23,1,5,6.2,85,31.8,27.2
8011,1989-08-24,5,6,3.9,88,30.6,26.6
8359,1989-08-25,3,4,10.8,80,33.2,26.8
8707,1989-08-26,2,4,10,81,33.6,26.2
9055,1989-08-27,0,4,8.3,79,34.6,27
9403,1989-08-28,0,4,7.3,80,34.5,27.2
9750,1989-08-29,0,5,8,82,34.2,26.8
10076,1989-08-30,4,6,5.5,84,32.5,27.6
10393,1989-08-31,3,7,2.8,85,32.2,27
8,1989-09-01,0,5,4.4,84,33.3,26.6
356,1989-09-02,1,4,10.5,79,34.6,26.9
704,1989-09-03,0,5,10,83,34.4,27.2
1052,1989-09-04,0,7,2.3,92,32.6,28.4
1400,1989-09-05,57,8,0,91,28.8,24.5
1748,1989-09-06,0,6,2.6,86,33.2,25.5
2096,1989-09-07,0,3,9.8,81,34,27
2444,1989-09-08,0,6,3.2,84,33.4,28
2792,1989-09-09,0,5,3.2,82,33.5,27.5
3140,1989-09-10,0,6,2.4,88,32.3,27.8
3488,1989-09-11,5,6,2.1,91,29.8,26.6
3836,1989-09-12,4,6,0,93,28.8,25.7
4184,1989-09-13,21,7,0.7,92,30.4,25.8
4532,1989-09-14,22,6,1.3,93,30.5,24.4
4880,1989-09-15,36,4,10.3,83,33.8,24.5
5228,1989-09-16,0,5,6.7,82,34.2,25.2
5576,1989-09-17,0,5,6.8,81,34,27
5924,1989-09-18,0,6,6.1,81,33.8,26.8
6272,1989-09-19,0,6,4.7,92,32.7,26.6
6620,1989-09-20,11,6,5.7,87,32.5,26.4
6968,1989-09-21,1,6,6.6,89,33.5,26.4
7316,1989-09-22,17,6,4.3,91,33.2,26.6
7664,1989-09-23,33,6,2.5,91,32,24.6
8012,1989-09-24,0,5,1.6,88,32.5,25
8360,1989-09-25,0,7,3.2,86,32,25.5
8708,1989-09-26,0,8,0,92,29,25.6
9056,1989-09-27,13,7,1.8,92,30.3,25
9404,1989-09-28,13,7,0,94,28.6,24
9751,1989-09-29,6,5,4.1,86,31.8,25.2
10077,1989-09-30,6,5,8.3,86,33.7,25.7
9,1989-10-01,0,3,9.7,84,33.7,26.5
357,1989-10-02,0,2,9.5,83,34.8,26.5
705,1989-10-03,0,5,1,87,33.8,27.2
1053,1989-10-04,0,3,8.5,82,35.5,26.6
1401,1989-10-05,0,5,5.3,84,34,26.2
1749,1989-10-06,0,5,0.3,89,30.2,25.6
2097,1989-10-07,0,4,7.2,86,33.3,25.5
2445,1989-10-08,0,6,2.3,92,31,25.6
2793,1989-10-09,36,8,1.1,95,30,25.4
3141,1989-10-10,47,7,2,91,30.7,24
3489,1989-10-11,20,4,7.7,86,33.4,25.2
3837,1989-10-12,0,2,8.9,84,33,25
4185,1989-10-13,0,2,9.9,85,32.5,25.4
4533,1989-10-14,0,3,10.3,85,32.7,25.2
4881,1989-10-15,0,4,2.3,86,33.5,25.8
5229,1989-10-16,0,6,0.1,86,32.3,27
5577,1989-10-17,0,8,3.2,94,28,25.2
5925,1989-10-18,103,6,9.5,92,29,22.5
6273,1989-10-19,30,4,9.7,83,31.5,23.3
6621,1989-10-20,0,4,6.1,83,32.2,25
6969,1989-10-21,0,6,6.9,80,31,25.4
7317,1989-10-22,0,5,5.7,79,30.8,23.5
7665,1989-10-23,0,6,0,87,28.5,25
8013,1989-10-24,11,8,0,94,25.8,22.7
8361,1989-10-25,68,6,6,95,26,22.7
8709,1989-10-26,15,3,8.8,89,30.3,23.4
9057,1989-10-27,0,2,9.4,86,32.2,23.2
9405,1989-10-28,0,2,9.4,83,31,23.5
9752,1989-10-29,0,0,9.4,82,31.3,22.8
10078,1989-10-30,0,3,7.7,80,32,21.8
10394,1989-10-31,0,3,8.7,85,31.2,22.8
10,1989-11-01,0,2,8.5,84,31.7,22.4
358,1989-11-02,0,1,8.6,86,30.5,22.2
706,1989-11-03,0,1,8.8,85,30.8,21.8
1054,1989-11-04,0,0,9.3,84,31,20.8
1402,1989-11-05,0,0,9,84,32.2,20.5
1750,1989-11-06,0,0,8.7,83,32.5,21.1
2098,1989-11-07,0,2,9.4,73,30.8,20
2446,1989-11-08,0,3,9.4,76,29,18.5
2794,1989-11-09,0,2,9.8,80,29.3,17.5
3142,1989-11-10,0,0,9.9,80,28.9,16.8
3490,1989-11-11,0,3,8.7,81,29,17.9
3838,1989-11-12,0,5,6.4,84,29.6,18
4186,1989-11-13,0,3,8.2,82,30,19.2
4534,1989-11-14,0,1,8.4,82,29.9,19.2
4882,1989-11-15,0,0,8.9,80,30.8,19
5230,1989-11-16,0,0,7.2,89,31.3,20
5578,1989-11-17,0,3,5.1,89,29.5,21.5
5926,1989-11-18,0,2,7.3,84,29.8,20.3
6274,1989-11-19,0,0,9.3,78,29,16.5
6622,1989-11-20,0,1,7.7,82,29.6,16.5
6970,1989-11-21,0,0,8.1,81,30,18.8
7318,1989-11-22,0,1,8.6,77,29.8,17.3
7666,1989-11-23,0,0,9.2,78,29.7,16.8
8014,1989-11-24,0,0,9.5,78,28.5,16.3
8362,1989-11-25,0,0,9.4,80,28.8,15.6
8710,1989-11-26,0,0,9.4,81,29.2,15.7
9058,1989-11-27,0,0,9.1,77,30,15.8
9406,1989-11-28,0,1,8.2,81,28.8,17.4
9753,1989-11-29,0,0,9.1,79,29.3,16.5
10079,1989-11-30,0,0,9.1,73,28.5,16.3
11,1989-12-01,0,0,9.6,72,28,15.8
359,1989-12-02,0,1,9.6,79,28.5,14.1
707,1989-12-03,0,0,9.5,74,29.1,14.5
1055,1989-12-04,0,0,9.8,75,27.8,12.2
1403,1989-12-05,0,0,9.1,73,26.8,12.3
1751,1989-12-06,0,0,9,74,25.8,12.4
2099,1989-12-07,0,0,9.6,78,26.6,12
2447,1989-12-08,0,0,9.2,78,26.6,11.4
2795,1989-12-09,0,0,9,78,26,11.2
3143,1989-12-10,0,0,8.1,78,26.8,10.2
3491,1989-12-11,0,0,7.9,78,27.5,11.4
3839,1989-12-12,0,0,7.8,76,26.8,13
4187,1989-12-13,0,0,8.6,80,26,13.4
4535,1989-12-14,0,1,9.1,75,25.8,12.7
4883,1989-12-15,0,0,9.4,74,27,11.7
5231,1989-12-16,0,1,8.8,76,27.2,12
5579,1989-12-17,0,2,8.7,74,27.5,12.6
5927,1989-12-18,0,1,8.9,77,27.3,14.4
6275,1989-12-19,0,1,8.5,77,27.2,13.8
6623,1989-12-20,0,0,7.6,77,26.4,12.3
6971,1989-12-21,0,2,7.3,78,27.2,12.4
7319,1989-12-22,0,0,7.6,79,27.9,14.2
7667,1989-12-23,0,0,6.7,80,27.8,15
8015,1989-12-24,0,0,7.6,80,27.7,14.3
8363,1989-12-25,0,0,7.7,80,27.8,15
8711,1989-12-26,0,7,0,91,19.6,14.8
9059,1989-12-27,1,2,8,84,22.8,11
9407,1989-12-28,0,2,8.7,74,24.2,11.2
9754,1989-12-29,0,0,9.1,76,22.8,11.1
10080,1989-12-30,0,0,9.2,79,22.7,8
10395,1989-12-31,0,1,8.7,74,23.6,11.2
12,1990-01-01,0,0,9.4,71,23.5,8.8
360,1990-01-02,0,0,9.4,72,23.6,8.8
708,1990-01-03,0,0,9.1,78,23.8,8.9
1056,1990-01-04,0,0,9.2,76,24.3,9
1404,1990-01-05,0,0,9.4,73,24,10.2
1752,1990-01-06,0,0,8.9,72,24.8,8.6
2100,1990-01-07,0,0,9.2,70,24.8,7.8
2448,1990-01-08,0,0,9.2,70,26.7,8
2796,1990-01-09,0,0,8.6,75,25,9.2
3144,1990-01-10,0,0,8.9,72,24.2,8.3
3492,1990-01-11,0,0,7.9,77,22.5,9.1
3840,1990-01-12,0,0,7.2,81,23.4,7.7
4188,1990-01-13,0,0,7.8,79,25,9.8
4536,1990-01-14,0,0,5.9,77,26.2,9.9
4884,1990-01-15,0,0,6,79,27.5,11.5
5232,1990-01-16,0,0,7.9,77,26.7,11
5580,1990-01-17,0,0,8.2,76,26,10.5
5928,1990-01-18,0,0,8.3,73,27.8,10.1
6276,1990-01-19,0,0,7.9,79,27,11.2
6624,1990-01-20,0,0,5.6,83,26.7,12
6972,1990-01-21,0,1,1.7,90,25,11.2
7320,1990-01-22,0,0,4,86,26.9,13.6
7668,1990-01-23,0,0,4.6,88,27.8,14.8
8016,1990-01-24,0,0,6.9,81,28.8,17
8364,1990-01-25,0,0,7.1,77,29,14.5
8712,1990-01-26,0,0,8,76,28.7,13.8
9060,1990-01-27,0,1,6.8,84,29.1,14.5
9408,1990-01-28,0,2,7.2,81,29.6,18.2
9755,1990-01-29,0,2,8.1,77,30.2,17.8
10081,1990-01-30,0,2,7.7,72,30.2,17.2
10396,1990-01-31,0,1,8.3,71,30.5,16.5
13,1990-02-01,0,1,7.8,77,30.6,13.5
361,1990-02-02,0,6,1.5,77,28.1,18
709,1990-02-03,0,1,7.8,65,28.8,17.3
1057,1990-02-04,0,0,8.8,73,29,13.2
1405,1990-02-05,0,4,4.5,86,29,15
1753,1990-02-06,0,2,7.9,71,29.8,15.8
2101,1990-02-07,0,2,8.9,67,31,16
2449,1990-02-08,0,1,7.4,74,30,14
2797,1990-02-09,0,1,7.2,79,31.6,16.1
3145,1990-02-10,0,4,5.2,80,31.4,16.5
3493,1990-02-11,1,4,4.3,77,27.6,17.7
3841,1990-02-12,0,1,9.4,75,29.2,14.2
4189,1990-02-13,0,2,8.6,76,30.4,15.4
4537,1990-02-14,0,6,0,95,21.2,18.8
4885,1990-02-15,18,4,8.4,81,27.5,13.1
5233,1990-02-16,0,1,8.7,77,27,16
5581,1990-02-17,0,4,8.7,81,27.3,18.4
5929,1990-02-18,0,7,5.9,76,27.5,17.8
6277,1990-02-19,27,4,4.9,80,28.5,17.5
6625,1990-02-20,0,6,9.2,84,29.4,17
6973,1990-02-21,10,4,6.2,80,28,16.6
7321,1990-02-22,1,2,8.2,81,27.7,14.6
7669,1990-02-23,0,3,8.8,78,27,15
8017,1990-02-24,0,2,7.2,70,29.2,15.2
8365,1990-02-25,0,6,9.4,76,30.4,18
8713,1990-02-26,5,2,8,87,26.8,17.5
9061,1990-02-27,0,1,6.3,77,30.3,16.8
9409,1990-02-28,0,3,9.1,81,30,18.5
14,1990-03-01,0,5,3.1,90,29.1,18.8
362,1990-03-02,33,5,5,87,27.8,20
710,1990-03-03,10,6,1,77,23.6,18
1058,1990-03-04,0,4,3.8,86,25.2,17.2
1406,1990-03-05,0,0,9.5,72,28,13.5
1754,1990-03-06,0,6,0.2,94,20.8,17.2
2102,1990-03-07,15,1,9.8,78,27,15.2
2450,1990-03-08,0,1,9.2,75,29.5,14.8
2798,1990-03-09,0,1,9,70,30.6,17.2
3146,1990-03-10,0,5,9,73,31,17.7
3494,1990-03-11,0,7,3.3,75,29.6,18.5
3842,1990-03-12,0,7,2.5,78,28.6,20.8
4190,1990-03-13,16,6,4.8,86,28.6,17.2
4538,1990-03-14,15,1,9.7,76,28.8,16.3
4886,1990-03-15,0,1,9.7,71,30.5,17.4
5234,1990-03-16,0,1,10.1,75,31.2,17.3
5582,1990-03-17,0,0,10.5,72,33,17.2
5930,1990-03-18,0,1,10.7,68,34.2,19.6
6278,1990-03-19,0,1,9.1,71,34.1,20.6
6626,1990-03-20,0,1,10,66,34.6,21.8
6974,1990-03-21,0,1,10.1,71,35,22.7
7322,1990-03-22,0,4,9.5,75,34.2,23
7670,1990-03-23,0,6,6,85,34.5,25
8018,1990-03-24,29,7,2.5,90,31.6,19.8
8366,1990-03-25,31,6,2.2,91,24.7,19.3
8714,1990-03-26,35,4,7.4,80,28.6,19
9062,1990-03-27,0,6,3.7,90,28.6,20.8
9410,1990-03-28,18,7,0.2,87,26.1,19.2
9756,1990-03-29,0,6,5,88,30.2,19.8
10082,1990-03-30,10,2,9.6,82,32.2,20.6
10397,1990-03-31,0,5,6.4,81,33.5,22
15,1990-04-01,1,5,6.7,89,31.2,20.4
363,1990-04-02,37,5,9.5,73,31.8,21
711,1990-04-03,0,7,4,88,29.8,22.8
1059,1990-04-04,4,5,4,83,25.1,19.2
1407,1990-04-05,0,1,10.8,76,28.9,15.8
1755,1990-04-06,0,6,9.7,76,31.8,19.6
2103,1990-04-07,0,5,8.9,79,32.4,23
2451,1990-04-08,0,5,8.4,75,32.7,21.4
2799,1990-04-09,0,5,8.9,81,34,23.4
3147,1990-04-10,0,1,8.9,72,35,25
3495,1990-04-11,0,2,9.3,81,35.2,24.4
3843,1990-04-12,0,3,9.8,78,36.5,24.8
4191,1990-04-13,0,5,8.1,81,34.6,25.4
4539,1990-04-14,0,3,10.2,80,36.7,25.5
4887,1990-04-15,0,4,9.8,80,34.3,25.8
5235,1990-04-16,0,3,8.7,82,35.2,26
5583,1990-04-17,0,4,8.1,75,37,25.2
5931,1990-04-18,0,3,9.9,76,35.3,26.8
6279,1990-04-19,0,3,10.9,76,34,26
6627,1990-04-20,0,4,9.3,80,34.3,25.3
6975,1990-04-21,0,4,8.3,79,35.8,26
7323,1990-04-22,0,3,8.3,78,35,27.4
7671,1990-04-23,0,2,9.6,78,35.5,26.5
8019,1990-04-24,0,3,9.8,77,35.5,26.8
8367,1990-04-25,0,5,9.3,78,34.4,24.4
8715,1990-04-26,5,5,9.6,83,34.3,20.4
9063,1990-04-27,11,3,10.2,79,33.3,19.5
9411,1990-04-28,0,6,7.1,75,33.5,25
9757,1990-04-29,0,4,7.6,73,33.4,23.2
10083,1990-04-30,0,3,11,74,35.5,22.2
16,1990-05-01,0,3,7.8,76,34.5,25.2
364,1990-05-02,4,4,10.4,77,35.2,24.2
712,1990-05-03,18,4,9.4,79,35.5,22.1
1060,1990-05-04,0,5,7.3,81,35,25.6
1408,1990-05-05,0,1,10.7,72,34.2,22
1756,1990-05-06,0,5,7.1,75,35,24.8
2104,1990-05-07,0,6,9.1,73,35.6,24.2
2452,1990-05-08,0,6,3.4,73,34.7,25.6
2800,1990-05-09,0,6,2.5,80,35,26.3
3148,1990-05-10,0,6,7.3,83,35.3,25.5
3496,1990-05-11,17,6,8.3,81,33.8,23.4
3844,1990-05-12,0,7,5.1,87,33.4,25.6
4192,1990-05-13,50,7,4,89,32.8,23
4540,1990-05-14,11,8,0,96,27.2,25
4888,1990-05-15,31,7,1.6,87,29,23.3
5236,1990-05-16,0,1,11.9,77,32.7,21.7
5584,1990-05-17,0,1,11.6,76,35.1,25
5932,1990-05-18,0,4,11.1,79,36,26.4
6280,1990-05-19,0,4,7,86,****,26.8
6628,1990-05-20,4,5,8.9,84,35.7,25.3
6976,1990-05-21,5,3,9.5,81,35,23
7324,1990-05-22,0,6,8.7,78,35.8,27
7672,1990-05-23,7,3,8.5,81,34.8,23
8020,1990-05-24,0,2,10.5,75,36.3,27.8
8368,1990-05-25,0,6,7.8,83,35.5,28.1
8716,1990-05-26,36,5,1.9,88,32,22.6
9064,1990-05-27,4,4,3.8,85,33.5,22.4
9412,1990-05-28,0,4,1.1,80,36.2,26.4
9758,1990-05-29,0,8,0,86,31.6,27.4
10084,1990-05-30,74,4,8.6,79,35,21.5
10398,1990-05-31,0,6,8.1,83,36,28
17,1990-06-01,26,6,0,89,32.6,24.5
365,1990-06-02,1,6,6.1,87,35.3,26
713,1990-06-03,52,6,3.6,82,34.5,24.5
1061,1990-06-04,0,7,3.1,86,33.6,28
1409,1990-06-05,0,7,1.1,86,34,27.8
1757,1990-06-06,18,5,6.1,83,33.3,22.4
